#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
352,QURU,4,CBH,19-Oct,3,0.036905,0.0123
712,QURU,4,CBH,19-Oct,15,0.027951,0.0019
1072,QURU,4,CBH,19-Oct,30,0.08381,0.0028
1432,QURU,4,CBH,19-Oct,60,0.10974,0.0018
1792,QURU,4,CBH,19-Oct,85,0.13279,0.0016
2152,QURU,4,CBH,19-Oct,150,0.14396,0.001
2512,QURU,4,CBH,19-Oct,250,0.09461,0.0004
2872,QURU,4,CBH,19-Oct,375,0.16107,0.0004
3232,QURU,4,CBH,19-Oct,500,0.15873,0.0003
353,QURU,5,CBH,19-Oct,3,0.036625,0.0122
713,QURU,5,CBH,19-Oct,15,0.063001,0.0042
1073,QURU,5,CBH,19-Oct,30,0.20891,0.007
1433,QURU,5,CBH,19-Oct,60,0.34402,0.0057
1793,QURU,5,CBH,19-Oct,85,0.34068,0.004
2153,QURU,5,CBH,19-Oct,150,0.43904,0.0029
2513,QURU,5,CBH,19-Oct,250,0.42302,0.0017
2873,QURU,5,CBH,19-Oct,375,0.46474,0.0012
3233,QURU,5,CBH,19-Oct,500,0.44016,0.0009
354,QURU,6,CBH,19-Oct,3,0.086413,0.0288
714,QURU,6,CBH,19-Oct,15,0.18298,0.0122
1074,QURU,6,CBH,19-Oct,30,0.22,0.0073
1434,QURU,6,CBH,19-Oct,60,0.24403,0.0041
1794,QURU,6,CBH,19-Oct,85,0.21574,0.0025
2154,QURU,6,CBH,19-Oct,150,0.26858,0.0018
2514,QURU,6,CBH,19-Oct,250,0.29738,0.0012
2874,QURU,6,CBH,19-Oct,375,0.2162,0.0006
3234,QURU,6,CBH,19-Oct,500,0.20266,0.0004
355,TSCA,1,CBH,19-Oct,3,0.034566,0.0115
715,TSCA,1,CBH,19-Oct,15,0.19464,0.013
1075,TSCA,1,CBH,19-Oct,30,0.26595,0.0089
1435,TSCA,1,CBH,19-Oct,60,0.3241,0.0054
1795,TSCA,1,CBH,19-Oct,85,0.38222,0.0045
2155,TSCA,1,CBH,19-Oct,150,0.22426,0.0015
2515,TSCA,1,CBH,19-Oct,250,0.22791,0.0009
2875,TSCA,1,CBH,19-Oct,375,0.22829,0.0006
3235,TSCA,1,CBH,19-Oct,500,0.24346,0.0005
356,TSCA,2,CBH,19-Oct,3,-0.053108,-0.0177
716,TSCA,2,CBH,19-Oct,15,-0.022239,-0.0015
1076,TSCA,2,CBH,19-Oct,30,0.013227,0.0004
1436,TSCA,2,CBH,19-Oct,60,0.0028189,0
1796,TSCA,2,CBH,19-Oct,85,0.076972,0.0009
2156,TSCA,2,CBH,19-Oct,150,0.082801,0.0006
2516,TSCA,2,CBH,19-Oct,250,0.18943,0.0008
2876,TSCA,2,CBH,19-Oct,375,0.017001,0
3236,TSCA,2,CBH,19-Oct,500,0.074425,0.0001
357,TSCA,3,CBH,19-Oct,3,0.12365,0.0412
717,TSCA,3,CBH,19-Oct,15,0.048272,0.0032
1077,TSCA,3,CBH,19-Oct,30,0.041233,0.0014
1437,TSCA,3,CBH,19-Oct,60,0.18394,0.0031
1797,TSCA,3,CBH,19-Oct,85,0.15643,0.0018
2157,TSCA,3,CBH,19-Oct,150,0.10559,0.0007
2517,TSCA,3,CBH,19-Oct,250,0.086469,0.0003
2877,TSCA,3,CBH,19-Oct,375,0.011744,0
3237,TSCA,3,CBH,19-Oct,500,0.14021,0.0003
358,TSCA,4,CBH,19-Oct,3,-0.034889,-0.0116
718,TSCA,4,CBH,19-Oct,15,0.0091837,0.0006
1078,TSCA,4,CBH,19-Oct,30,0.004636,0.0002
1438,TSCA,4,CBH,19-Oct,60,-0.0065236,-0.0001
1798,TSCA,4,CBH,19-Oct,85,0.022575,0.0003
2158,TSCA,4,CBH,19-Oct,150,0.019196,0.0001
2518,TSCA,4,CBH,19-Oct,250,0.047162,0.0002
2878,TSCA,4,CBH,19-Oct,375,0.025193,0.0001
3238,TSCA,4,CBH,19-Oct,500,-0.0051682,0
359,TSCA,5,CBH,19-Oct,3,-0.043828,-0.0146
719,TSCA,5,CBH,19-Oct,15,-0.067797,-0.0045
1079,TSCA,5,CBH,19-Oct,30,0.048258,0.0016
1439,TSCA,5,CBH,19-Oct,60,-0.057762,-0.001
1799,TSCA,5,CBH,19-Oct,85,0.044583,0.0005
2159,TSCA,5,CBH,19-Oct,150,0.11331,0.0008
2519,TSCA,5,CBH,19-Oct,250,0.051447,0.0002
2879,TSCA,5,CBH,19-Oct,375,0.054162,0.0001
3239,TSCA,5,CBH,19-Oct,500,0.025217,0.0001
360,TSCA,6,CBH,19-Oct,3,-0.096175,-0.0321
720,TSCA,6,CBH,19-Oct,15,-0.045272,-0.003
1080,TSCA,6,CBH,19-Oct,30,-0.0099831,-0.0003
1440,TSCA,6,CBH,19-Oct,60,-0.091858,-0.0015
1800,TSCA,6,CBH,19-Oct,85,0.0060002,0.0001
2160,TSCA,6,CBH,19-Oct,150,-0.051331,-0.0003
2520,TSCA,6,CBH,19-Oct,250,0.016491,0.0001
2880,TSCA,6,CBH,19-Oct,375,-0.046479,-0.0001
3240,TSCA,6,CBH,19-Oct,500,-0.071365,-0.0001
343,FRAM,1,CBH,15-Nov,3,0.004473,0.0015
703,FRAM,1,CBH,15-Nov,15,0.067866,0.0045
1063,FRAM,1,CBH,15-Nov,30,0.029498,0.001
1423,FRAM,1,CBH,15-Nov,60,0.068062,0.0011
1783,FRAM,1,CBH,15-Nov,85,0.057572,0.0007
2143,FRAM,1,CBH,15-Nov,150,0.034645,0.0002
2503,FRAM,1,CBH,15-Nov,250,0.058171,0.0002
2863,FRAM,1,CBH,15-Nov,375,0.041142,0.0001
3223,FRAM,1,CBH,15-Nov,500,0.01704,0
344,FRAM,2,CBH,15-Nov,3,0.10751,0.0358
704,FRAM,2,CBH,15-Nov,15,0.1256,0.0084
1064,FRAM,2,CBH,15-Nov,30,0.1122,0.0037
1424,FRAM,2,CBH,15-Nov,60,0.098719,0.0016
1784,FRAM,2,CBH,15-Nov,85,0.095926,0.0011
2144,FRAM,2,CBH,15-Nov,150,0.082606,0.0006
2504,FRAM,2,CBH,15-Nov,250,0.11262,0.0005
2864,FRAM,2,CBH,15-Nov,375,0.1342,0.0004
3224,FRAM,2,CBH,15-Nov,500,0.12004,0.0002
345,FRAM,3,CBH,15-Nov,3,-0.015164,-0.0051
705,FRAM,3,CBH,15-Nov,15,0.068983,0.0046
1065,FRAM,3,CBH,15-Nov,30,0.080008,0.0027
1425,FRAM,3,CBH,15-Nov,60,0.027417,0.0005
1785,FRAM,3,CBH,15-Nov,85,0.12865,0.0015
2145,FRAM,3,CBH,15-Nov,150,0.039266,0.0003
2505,FRAM,3,CBH,15-Nov,250,0.025201,0.0001
2865,FRAM,3,CBH,15-Nov,375,-0.0045018,0
3225,FRAM,3,CBH,15-Nov,500,0.049445,0.0001
346,FRAM,4,CBH,15-Nov,3,-0.093426,-0.0311
706,FRAM,4,CBH,15-Nov,15,-0.073318,-0.0049
1066,FRAM,4,CBH,15-Nov,30,-0.10483,-0.0035
1426,FRAM,4,CBH,15-Nov,60,-0.033886,-0.0006
1786,FRAM,4,CBH,15-Nov,85,-0.045707,-0.0005
2146,FRAM,4,CBH,15-Nov,150,-0.079737,-0.0005
2506,FRAM,4,CBH,15-Nov,250,-0.013621,-0.0001
2866,FRAM,4,CBH,15-Nov,375,-0.079986,-0.0002
3226,FRAM,4,CBH,15-Nov,500,-0.090197,-0.0002
347,FRAM,5,CBH,15-Nov,3,0.059585,0.0199
707,FRAM,5,CBH,15-Nov,15,0.00026616,0
1067,FRAM,5,CBH,15-Nov,30,0.054275,0.0018
1427,FRAM,5,CBH,15-Nov,60,0.19797,0.0033
1787,FRAM,5,CBH,15-Nov,85,0.16241,0.0019
2147,FRAM,5,CBH,15-Nov,150,0.11927,0.0008
2507,FRAM,5,CBH,15-Nov,250,0.064632,0.0003
2867,FRAM,5,CBH,15-Nov,375,0.21561,0.0006
3227,FRAM,5,CBH,15-Nov,500,0.23271,0.0005
348,FRAM,6,CBH,15-Nov,3,-0.040798,-0.0136
708,FRAM,6,CBH,15-Nov,15,-0.062268,-0.0042
1068,FRAM,6,CBH,15-Nov,30,-0.030049,-0.001
1428,FRAM,6,CBH,15-Nov,60,0.027511,0.0005
1788,FRAM,6,CBH,15-Nov,85,-0.0073525,-0.0001
2148,FRAM,6,CBH,15-Nov,150,-0.01971,-0.0001
2508,FRAM,6,CBH,15-Nov,250,0.05627,0.0002
2868,FRAM,6,CBH,15-Nov,375,0.056764,0.0002
3228,FRAM,6,CBH,15-Nov,500,0.00079172,0
91,FRAM,1,NAG,1-Mar,5,0.060323,0.0121
451,FRAM,1,NAG,1-Mar,20,0.10542,0.0053
811,FRAM,1,NAG,1-Mar,40,0.094466,0.0024
1171,FRAM,1,NAG,1-Mar,80,0.076177,0.001
1531,FRAM,1,NAG,1-Mar,140,0.094108,0.0007
1891,FRAM,1,NAG,1-Mar,200,0.10823,0.0005
2251,FRAM,1,NAG,1-Mar,400,0.13841,0.0003
2611,FRAM,1,NAG,1-Mar,600,0.18235,0.0003
2971,FRAM,1,NAG,1-Mar,800,0.17843,0.0002
92,FRAM,2,NAG,1-Mar,5,0.014772,0.003
452,FRAM,2,NAG,1-Mar,20,0.10954,0.0055
812,FRAM,2,NAG,1-Mar,40,0.10087,0.0025
1172,FRAM,2,NAG,1-Mar,80,0.1252,0.0016
1532,FRAM,2,NAG,1-Mar,140,0.11233,0.0008
1892,FRAM,2,NAG,1-Mar,200,0.20994,0.001
2252,FRAM,2,NAG,1-Mar,400,0.22408,0.0006
2612,FRAM,2,NAG,1-Mar,600,0.23203,0.0004
2972,FRAM,2,NAG,1-Mar,800,0.36173,0.0005
93,FRAM,3,NAG,1-Mar,5,-0.00036161,-0.0001
453,FRAM,3,NAG,1-Mar,20,0.033525,0.0017
813,FRAM,3,NAG,1-Mar,40,-0.0018727,0
1173,FRAM,3,NAG,1-Mar,80,0.046787,0.0006
1533,FRAM,3,NAG,1-Mar,140,0.11261,0.0008
1893,FRAM,3,NAG,1-Mar,200,0.093436,0.0005
2253,FRAM,3,NAG,1-Mar,400,0.14024,0.0004
2613,FRAM,3,NAG,1-Mar,600,0.1669,0.0003
2973,FRAM,3,NAG,1-Mar,800,0.24536,0.0003
94,FRAM,4,NAG,1-Mar,5,-0.010894,-0.0022
454,FRAM,4,NAG,1-Mar,20,0.047112,0.0024
814,FRAM,4,NAG,1-Mar,40,0.10199,0.0025
1174,FRAM,4,NAG,1-Mar,80,0.14102,0.0018
1534,FRAM,4,NAG,1-Mar,140,0.38018,0.0027
1894,FRAM,4,NAG,1-Mar,200,0.43234,0.0022
2254,FRAM,4,NAG,1-Mar,400,0.58931,0.0015
2614,FRAM,4,NAG,1-Mar,600,0.6731,0.0011
2974,FRAM,4,NAG,1-Mar,800,0.70996,0.0009
95,FRAM,5,NAG,1-Mar,5,0.019615,0.0039
455,FRAM,5,NAG,1-Mar,20,0.081484,0.0041
815,FRAM,5,NAG,1-Mar,40,0.1002,0.0025
1175,FRAM,5,NAG,1-Mar,80,0.14438,0.0018
1535,FRAM,5,NAG,1-Mar,140,0.30181,0.0022
1895,FRAM,5,NAG,1-Mar,200,0.39395,0.002
2255,FRAM,5,NAG,1-Mar,400,0.41517,0.001
2615,FRAM,5,NAG,1-Mar,600,0.46577,0.0008
2975,FRAM,5,NAG,1-Mar,800,0.49988,0.0006
96,FRAM,6,NAG,1-Mar,5,0.034164,0.0068
456,FRAM,6,NAG,1-Mar,20,0.051064,0.0026
816,FRAM,6,NAG,1-Mar,40,0.063555,0.0016
1176,FRAM,6,NAG,1-Mar,80,0.10689,0.0013
1536,FRAM,6,NAG,1-Mar,140,0.12064,0.0009
1896,FRAM,6,NAG,1-Mar,200,0.17352,0.0009
2256,FRAM,6,NAG,1-Mar,400,0.17091,0.0004
2616,FRAM,6,NAG,1-Mar,600,0.2598,0.0004
2976,FRAM,6,NAG,1-Mar,800,0.21356,0.0003
97,QURU,1,NAG,1-Mar,5,0.0010493,0.0002
457,QURU,1,NAG,1-Mar,20,-0.0069497,-0.0003
817,QURU,1,NAG,1-Mar,40,0.020254,0.0005
1177,QURU,1,NAG,1-Mar,80,0.069869,0.0009
1537,QURU,1,NAG,1-Mar,140,0.044289,0.0003
1897,QURU,1,NAG,1-Mar,200,0.11462,0.0006
2257,QURU,1,NAG,1-Mar,400,0.050257,0.0001
2617,QURU,1,NAG,1-Mar,600,0.10516,0.0002
2977,QURU,1,NAG,1-Mar,800,0.082146,0.0001
98,QURU,2,NAG,1-Mar,5,0.002711,0.0005
458,QURU,2,NAG,1-Mar,20,-0.00081464,0
818,QURU,2,NAG,1-Mar,40,0.034237,0.0009
1178,QURU,2,NAG,1-Mar,80,0.029134,0.0004
1538,QURU,2,NAG,1-Mar,140,0.055341,0.0004
1898,QURU,2,NAG,1-Mar,200,0.094464,0.0005
2258,QURU,2,NAG,1-Mar,400,0.12117,0.0003
2618,QURU,2,NAG,1-Mar,600,0.14443,0.0002
2978,QURU,2,NAG,1-Mar,800,0.15363,0.0002
99,QURU,3,NAG,1-Mar,5,0.0035588,0.0007
459,QURU,3,NAG,1-Mar,20,0.043135,0.0022
819,QURU,3,NAG,1-Mar,40,0.084611,0.0021
1179,QURU,3,NAG,1-Mar,80,0.115,0.0014
1539,QURU,3,NAG,1-Mar,140,0.23336,0.0017
1899,QURU,3,NAG,1-Mar,200,0.34577,0.0017
2259,QURU,3,NAG,1-Mar,400,0.29025,0.0007
2619,QURU,3,NAG,1-Mar,600,0.45211,0.0008
2979,QURU,3,NAG,1-Mar,800,0.49636,0.0006
100,QURU,4,NAG,1-Mar,5,0.038328,0.0077
460,QURU,4,NAG,1-Mar,20,0.06116,0.0031
820,QURU,4,NAG,1-Mar,40,0.070342,0.0018
1180,QURU,4,NAG,1-Mar,80,0.10385,0.0013
1540,QURU,4,NAG,1-Mar,140,0.073151,0.0005
1900,QURU,4,NAG,1-Mar,200,0.17096,0.0009
2260,QURU,4,NAG,1-Mar,400,0.13508,0.0003
2620,QURU,4,NAG,1-Mar,600,0.1853,0.0003
2980,QURU,4,NAG,1-Mar,800,0.20773,0.0003
101,QURU,5,NAG,1-Mar,5,0.030849,0.0062
461,QURU,5,NAG,1-Mar,20,0.017144,0.0009
821,QURU,5,NAG,1-Mar,40,0.029347,0.0007
1181,QURU,5,NAG,1-Mar,80,0.044932,0.0006
1541,QURU,5,NAG,1-Mar,140,0.097677,0.0007
1901,QURU,5,NAG,1-Mar,200,0.040305,0.0002
2261,QURU,5,NAG,1-Mar,400,0.058016,0.0001
2621,QURU,5,NAG,1-Mar,600,0.050893,0.0001
2981,QURU,5,NAG,1-Mar,800,0.076217,0.0001
102,QURU,6,NAG,1-Mar,5,0.0062279,0.0012
462,QURU,6,NAG,1-Mar,20,0.01516,0.0008
822,QURU,6,NAG,1-Mar,40,0.013784,0.0003
1182,QURU,6,NAG,1-Mar,80,0.036113,0.0005
1542,QURU,6,NAG,1-Mar,140,0.058725,0.0004
1902,QURU,6,NAG,1-Mar,200,0.048886,0.0002
2262,QURU,6,NAG,1-Mar,400,0.089206,0.0002
2622,QURU,6,NAG,1-Mar,600,0.063408,0.0001
2982,QURU,6,NAG,1-Mar,800,0.047677,0.0001
103,TSCA,1,NAG,1-Mar,5,0.038991,0.0078
463,TSCA,1,NAG,1-Mar,20,0.10191,0.0051
823,TSCA,1,NAG,1-Mar,40,0.08518,0.0021
1183,TSCA,1,NAG,1-Mar,80,0.18137,0.0023
1543,TSCA,1,NAG,1-Mar,140,0.19421,0.0014
1903,TSCA,1,NAG,1-Mar,200,0.22108,0.0011
2263,TSCA,1,NAG,1-Mar,400,0.31486,0.0008
2623,TSCA,1,NAG,1-Mar,600,0.26453,0.0004
2983,TSCA,1,NAG,1-Mar,800,0.23533,0.0003
104,TSCA,2,NAG,1-Mar,5,0.0067898,0.0014
464,TSCA,2,NAG,1-Mar,20,0.01578,0.0008
824,TSCA,2,NAG,1-Mar,40,0.019241,0.0005
1184,TSCA,2,NAG,1-Mar,80,0.027683,0.0003
1544,TSCA,2,NAG,1-Mar,140,0.022667,0.0002
1904,TSCA,2,NAG,1-Mar,200,0.045894,0.0002
2264,TSCA,2,NAG,1-Mar,400,0.041851,0.0001
2624,TSCA,2,NAG,1-Mar,600,0.047445,0.0001
2984,TSCA,2,NAG,1-Mar,800,0.060246,0.0001
105,TSCA,3,NAG,1-Mar,5,-0.047556,-0.0095
465,TSCA,3,NAG,1-Mar,20,-0.010302,-0.0005
825,TSCA,3,NAG,1-Mar,40,-0.024164,-0.0006
1185,TSCA,3,NAG,1-Mar,80,0.0087516,0.0001
1545,TSCA,3,NAG,1-Mar,140,0.027678,0.0002
1905,TSCA,3,NAG,1-Mar,200,-0.0018528,0
2265,TSCA,3,NAG,1-Mar,400,0.016358,0
2625,TSCA,3,NAG,1-Mar,600,0.073643,0.0001
2985,TSCA,3,NAG,1-Mar,800,-0.017342,0
106,TSCA,4,NAG,1-Mar,5,-0.052852,-0.0106
466,TSCA,4,NAG,1-Mar,20,-0.029057,-0.0015
826,TSCA,4,NAG,1-Mar,40,-0.039676,-0.001
1186,TSCA,4,NAG,1-Mar,80,-0.041546,-0.0005
1546,TSCA,4,NAG,1-Mar,140,0.00057934,0
1906,TSCA,4,NAG,1-Mar,200,-0.0099905,0
2266,TSCA,4,NAG,1-Mar,400,0.045541,0.0001
2626,TSCA,4,NAG,1-Mar,600,-0.007293,0
2986,TSCA,4,NAG,1-Mar,800,0.026762,0
107,TSCA,5,NAG,1-Mar,5,0.0019154,0.0004
467,TSCA,5,NAG,1-Mar,20,0.0337,0.0017
827,TSCA,5,NAG,1-Mar,40,0.051522,0.0013
1187,TSCA,5,NAG,1-Mar,80,0.075757,0.0009
1547,TSCA,5,NAG,1-Mar,140,0.08485,0.0006
1907,TSCA,5,NAG,1-Mar,200,0.16595,0.0008
2267,TSCA,5,NAG,1-Mar,400,0.12601,0.0003
2627,TSCA,5,NAG,1-Mar,600,0.11075,0.0002
2987,TSCA,5,NAG,1-Mar,800,0.1669,0.0002
108,TSCA,6,NAG,1-Mar,5,-0.0016524,-0.0003
468,TSCA,6,NAG,1-Mar,20,0.042934,0.0021
828,TSCA,6,NAG,1-Mar,40,0.037434,0.0009
1188,TSCA,6,NAG,1-Mar,80,0.11473,0.0014
1548,TSCA,6,NAG,1-Mar,140,0.11795,0.0008
1908,TSCA,6,NAG,1-Mar,200,0.20063,0.001
2268,TSCA,6,NAG,1-Mar,400,0.17487,0.0004
2628,TSCA,6,NAG,1-Mar,600,0.30596,0.0005
2988,TSCA,6,NAG,1-Mar,800,0.12861,0.0002
109,FRAM,1,NAG,11-Apr,5,0.020736,0.0041
469,FRAM,1,NAG,11-Apr,20,0.059712,0.003
829,FRAM,1,NAG,11-Apr,40,0.093498,0.0023
1189,FRAM,1,NAG,11-Apr,80,0.14292,0.0018
1549,FRAM,1,NAG,11-Apr,140,0.2051,0.0015
1909,FRAM,1,NAG,11-Apr,200,0.26365,0.0013
2269,FRAM,1,NAG,11-Apr,400,0.24366,0.0006
2629,FRAM,1,NAG,11-Apr,600,0.29651,0.0005
2989,FRAM,1,NAG,11-Apr,800,0.3069,0.0004
110,FRAM,2,NAG,11-Apr,5,0.023294,0.0047
470,FRAM,2,NAG,11-Apr,20,0.052687,0.0026
830,FRAM,2,NAG,11-Apr,40,0.063751,0.0016
1190,FRAM,2,NAG,11-Apr,80,0.099159,0.0012
1550,FRAM,2,NAG,11-Apr,140,0.20677,0.0015
1910,FRAM,2,NAG,11-Apr,200,0.28026,0.0014
2270,FRAM,2,NAG,11-Apr,400,0.24366,0.0006
2630,FRAM,2,NAG,11-Apr,600,0.28644,0.0005
2990,FRAM,2,NAG,11-Apr,800,0.27047,0.0003
111,FRAM,3,NAG,11-Apr,5,0.014493,0.0029
471,FRAM,3,NAG,11-Apr,20,0.024056,0.0012
831,FRAM,3,NAG,11-Apr,40,0.043323,0.0011
1191,FRAM,3,NAG,11-Apr,80,0.081578,0.001
1551,FRAM,3,NAG,11-Apr,140,0.12432,0.0009
1911,FRAM,3,NAG,11-Apr,200,0.12531,0.0006
2271,FRAM,3,NAG,11-Apr,400,0.13866,0.0003
2631,FRAM,3,NAG,11-Apr,600,0.16643,0.0003
2991,FRAM,3,NAG,11-Apr,800,0.20123,0.0003
112,FRAM,4,NAG,11-Apr,5,-0.0067674,-0.0014
472,FRAM,4,NAG,11-Apr,20,0.040475,0.002
832,FRAM,4,NAG,11-Apr,40,0.012598,0.0003
1192,FRAM,4,NAG,11-Apr,80,0.022022,0.0003
1552,FRAM,4,NAG,11-Apr,140,0.049801,0.0004
1912,FRAM,4,NAG,11-Apr,200,0.076621,0.0004
2272,FRAM,4,NAG,11-Apr,400,0.080111,0.0002
2632,FRAM,4,NAG,11-Apr,600,0.26666,0.0004
2992,FRAM,4,NAG,11-Apr,800,0.14329,0.0002
113,FRAM,5,NAG,11-Apr,5,0.031873,0.0064
473,FRAM,5,NAG,11-Apr,20,0.075153,0.0038
833,FRAM,5,NAG,11-Apr,40,0.10792,0.0027
1193,FRAM,5,NAG,11-Apr,80,0.20004,0.0025
1553,FRAM,5,NAG,11-Apr,140,0.21899,0.0016
1913,FRAM,5,NAG,11-Apr,200,0.25951,0.0013
2273,FRAM,5,NAG,11-Apr,400,0.27416,0.0007
2633,FRAM,5,NAG,11-Apr,600,0.28493,0.0005
2993,FRAM,5,NAG,11-Apr,800,0.29744,0.0004
114,FRAM,6,NAG,11-Apr,5,0.022253,0.0045
474,FRAM,6,NAG,11-Apr,20,0.075639,0.0038
834,FRAM,6,NAG,11-Apr,40,0.08994,0.0022
1194,FRAM,6,NAG,11-Apr,80,0.16849,0.0021
1554,FRAM,6,NAG,11-Apr,140,0.25488,0.0018
1914,FRAM,6,NAG,11-Apr,200,0.31112,0.0016
2274,FRAM,6,NAG,11-Apr,400,0.35706,0.0009
2634,FRAM,6,NAG,11-Apr,600,0.34635,0.0006
2994,FRAM,6,NAG,11-Apr,800,0.37032,0.0005
115,QURU,1,NAG,11-Apr,5,0.033934,0.0068
475,QURU,1,NAG,11-Apr,20,0.040912,0.002
835,QURU,1,NAG,11-Apr,40,0.047781,0.0012
1195,QURU,1,NAG,11-Apr,80,0.060177,0.0008
1555,QURU,1,NAG,11-Apr,140,0.087326,0.0006
1915,QURU,1,NAG,11-Apr,200,0.13263,0.0007
2275,QURU,1,NAG,11-Apr,400,0.13391,0.0003
2635,QURU,1,NAG,11-Apr,600,0.10352,0.0002
2995,QURU,1,NAG,11-Apr,800,0.12474,0.0002
116,QURU,2,NAG,11-Apr,5,0.038584,0.0077
476,QURU,2,NAG,11-Apr,20,0.038826,0.0019
836,QURU,2,NAG,11-Apr,40,0.059382,0.0015
1196,QURU,2,NAG,11-Apr,80,0.071325,0.0009
1556,QURU,2,NAG,11-Apr,140,0.11329,0.0008
1916,QURU,2,NAG,11-Apr,200,0.10687,0.0005
2276,QURU,2,NAG,11-Apr,400,0.11573,0.0003
2636,QURU,2,NAG,11-Apr,600,0.14932,0.0002
2996,QURU,2,NAG,11-Apr,800,0.11362,0.0001
117,QURU,3,NAG,11-Apr,5,0.046118,0.0092
477,QURU,3,NAG,11-Apr,20,0.1543,0.0077
837,QURU,3,NAG,11-Apr,40,0.21794,0.0054
1197,QURU,3,NAG,11-Apr,80,0.29507,0.0037
1557,QURU,3,NAG,11-Apr,140,0.44808,0.0032
1917,QURU,3,NAG,11-Apr,200,0.39069,0.002
2277,QURU,3,NAG,11-Apr,400,0.36164,0.0009
2637,QURU,3,NAG,11-Apr,600,0.2773,0.0005
2997,QURU,3,NAG,11-Apr,800,0.26434,0.0003
118,QURU,4,NAG,11-Apr,5,0.038815,0.0078
478,QURU,4,NAG,11-Apr,20,0.099221,0.005
838,QURU,4,NAG,11-Apr,40,0.15414,0.0039
1198,QURU,4,NAG,11-Apr,80,0.22699,0.0028
1558,QURU,4,NAG,11-Apr,140,0.30497,0.0022
1918,QURU,4,NAG,11-Apr,200,0.41336,0.0021
2278,QURU,4,NAG,11-Apr,400,0.44629,0.0011
2638,QURU,4,NAG,11-Apr,600,0.4008,0.0007
2998,QURU,4,NAG,11-Apr,800,0.42988,0.0005
119,QURU,5,NAG,11-Apr,5,0.027137,0.0054
479,QURU,5,NAG,11-Apr,20,0.058555,0.0029
839,QURU,5,NAG,11-Apr,40,0.055376,0.0014
1199,QURU,5,NAG,11-Apr,80,0.10048,0.0013
1559,QURU,5,NAG,11-Apr,140,0.1248,0.0009
1919,QURU,5,NAG,11-Apr,200,0.15515,0.0008
2279,QURU,5,NAG,11-Apr,400,0.13623,0.0003
2639,QURU,5,NAG,11-Apr,600,0.12523,0.0002
2999,QURU,5,NAG,11-Apr,800,0.11145,0.0001
120,QURU,6,NAG,11-Apr,5,0.0157,0.0031
480,QURU,6,NAG,11-Apr,20,0.026738,0.0013
840,QURU,6,NAG,11-Apr,40,0.033099,0.0008
1200,QURU,6,NAG,11-Apr,80,0.042704,0.0005
1560,QURU,6,NAG,11-Apr,140,0.078407,0.0006
1920,QURU,6,NAG,11-Apr,200,0.065365,0.0003
2280,QURU,6,NAG,11-Apr,400,0.085646,0.0002
2640,QURU,6,NAG,11-Apr,600,0.1189,0.0002
3000,QURU,6,NAG,11-Apr,800,0.073912,0.0001
121,TSCA,1,NAG,11-Apr,5,0.0096762,0.0019
481,TSCA,1,NAG,11-Apr,20,-0.0066366,-0.0003
841,TSCA,1,NAG,11-Apr,40,0.017631,0.0004
1201,TSCA,1,NAG,11-Apr,80,0.030104,0.0004
1561,TSCA,1,NAG,11-Apr,140,0.12192,0.0009
1921,TSCA,1,NAG,11-Apr,200,0.03101,0.0002
2281,TSCA,1,NAG,11-Apr,400,0.04054,0.0001
2641,TSCA,1,NAG,11-Apr,600,0.035324,0.0001
3001,TSCA,1,NAG,11-Apr,800,0.026008,0
122,TSCA,2,NAG,11-Apr,5,0.0090868,0.0018
482,TSCA,2,NAG,11-Apr,20,0.032316,0.0016
842,TSCA,2,NAG,11-Apr,40,0.059154,0.0015
1202,TSCA,2,NAG,11-Apr,80,0.098328,0.0012
1562,TSCA,2,NAG,11-Apr,140,0.067258,0.0005
1922,TSCA,2,NAG,11-Apr,200,0.087793,0.0004
2282,TSCA,2,NAG,11-Apr,400,0.10929,0.0003
2642,TSCA,2,NAG,11-Apr,600,0.093972,0.0002
3002,TSCA,2,NAG,11-Apr,800,0.073136,0.0001
123,TSCA,3,NAG,11-Apr,5,0.023999,0.0048
483,TSCA,3,NAG,11-Apr,20,0.070657,0.0035
843,TSCA,3,NAG,11-Apr,40,0.079479,0.002
1203,TSCA,3,NAG,11-Apr,80,0.14847,0.0019
1563,TSCA,3,NAG,11-Apr,140,0.24736,0.0018
1923,TSCA,3,NAG,11-Apr,200,0.38055,0.0019
2283,TSCA,3,NAG,11-Apr,400,0.33811,0.0008
2643,TSCA,3,NAG,11-Apr,600,0.32105,0.0005
3003,TSCA,3,NAG,11-Apr,800,0.36518,0.0005
124,TSCA,4,NAG,11-Apr,5,0.022495,0.0045
484,TSCA,4,NAG,11-Apr,20,0.078324,0.0039
844,TSCA,4,NAG,11-Apr,40,0.085794,0.0021
1204,TSCA,4,NAG,11-Apr,80,0.17377,0.0022
1564,TSCA,4,NAG,11-Apr,140,0.28157,0.002
1924,TSCA,4,NAG,11-Apr,200,0.30567,0.0015
2284,TSCA,4,NAG,11-Apr,400,0.36541,0.0009
2644,TSCA,4,NAG,11-Apr,600,0.35107,0.0006
3004,TSCA,4,NAG,11-Apr,800,0.3195,0.0004
125,TSCA,5,NAG,11-Apr,5,0.028438,0.0057
