#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
2836,QURU,4,CBH,31-May,375,0.046891,0.0001
3196,QURU,4,CBH,31-May,500,0.038362,0.0001
317,QURU,5,CBH,31-May,3,0.015354,0.0051
677,QURU,5,CBH,31-May,15,0.0712,0.0047
1037,QURU,5,CBH,31-May,30,0.048634,0.0016
1397,QURU,5,CBH,31-May,60,0.05452,0.0009
1757,QURU,5,CBH,31-May,85,0.11713,0.0014
2117,QURU,5,CBH,31-May,150,0.073447,0.0005
2477,QURU,5,CBH,31-May,250,0.057829,0.0002
2837,QURU,5,CBH,31-May,375,0.061378,0.0002
3197,QURU,5,CBH,31-May,500,0.058039,0.0001
318,QURU,6,CBH,31-May,3,0.0015156,0.0005
678,QURU,6,CBH,31-May,15,0.049762,0.0033
1038,QURU,6,CBH,31-May,30,0.039737,0.0013
1398,QURU,6,CBH,31-May,60,0.080654,0.0013
1758,QURU,6,CBH,31-May,85,0.081095,0.001
2118,QURU,6,CBH,31-May,150,0.052287,0.0003
2478,QURU,6,CBH,31-May,250,0.048587,0.0002
2838,QURU,6,CBH,31-May,375,0.06159,0.0002
3198,QURU,6,CBH,31-May,500,0.034255,0.0001
319,TSCA,1,CBH,31-May,3,-0.0036613,-0.0012
679,TSCA,1,CBH,31-May,15,0.055926,0.0037
1039,TSCA,1,CBH,31-May,30,0.095871,0.0032
1399,TSCA,1,CBH,31-May,60,0.092192,0.0015
1759,TSCA,1,CBH,31-May,85,0.14559,0.0017
2119,TSCA,1,CBH,31-May,150,0.08748,0.0006
2479,TSCA,1,CBH,31-May,250,0.056959,0.0002
2839,TSCA,1,CBH,31-May,375,0.047622,0.0001
3199,TSCA,1,CBH,31-May,500,0.083236,0.0002
320,TSCA,2,CBH,31-May,3,0.031276,0.0104
680,TSCA,2,CBH,31-May,15,0.13512,0.009
1040,TSCA,2,CBH,31-May,30,0.14615,0.0049
1400,TSCA,2,CBH,31-May,60,0.18033,0.003
1760,TSCA,2,CBH,31-May,85,0.17295,0.002
2120,TSCA,2,CBH,31-May,150,0.13235,0.0009
2480,TSCA,2,CBH,31-May,250,0.16735,0.0007
2840,TSCA,2,CBH,31-May,375,0.16243,0.0004
3200,TSCA,2,CBH,31-May,500,0.15696,0.0003
321,TSCA,3,CBH,31-May,3,0.024472,0.0082
681,TSCA,3,CBH,31-May,15,0.08032,0.0054
1041,TSCA,3,CBH,31-May,30,0.083982,0.0028
1401,TSCA,3,CBH,31-May,60,0.090796,0.0015
1761,TSCA,3,CBH,31-May,85,0.069098,0.0008
2121,TSCA,3,CBH,31-May,150,0.14168,0.0009
2481,TSCA,3,CBH,31-May,250,0.061515,0.0002
2841,TSCA,3,CBH,31-May,375,0.075798,0.0002
3201,TSCA,3,CBH,31-May,500,0.10221,0.0002
322,TSCA,4,CBH,31-May,3,0.042076,0.014
682,TSCA,4,CBH,31-May,15,0.044848,0.003
