species,substrate,concentration,activity
QURU,BG ,375,0.62607
QURU,BG ,500,0.57972
QURU,BG ,3,0.067258
QURU,BG ,15,0.20978
QURU,BG ,30,0.31193
QURU,BG ,60,0.50129
QURU,BG ,85,0.53738
QURU,BG ,150,0.57126
QURU,BG ,250,0.59205
QURU,BG ,375,0.71498
QURU,BG ,500,0.76581
QURU,BG ,3,0.063384
QURU,BG ,15,0.29041
QURU,BG ,30,0.35206
QURU,BG ,60,0.45847
QURU,BG ,85,0.49185
QURU,BG ,150,0.58241
QURU,BG ,250,0.62199
QURU,BG ,375,0.62064
QURU,BG ,500,0.74112
QURU,BG ,3,0.053397
QURU,BG ,15,0.26835
QURU,BG ,30,0.33531
QURU,BG ,60,0.41399
QURU,BG ,85,0.57814
QURU,BG ,150,0.54492
QURU,BG ,250,0.58316
QURU,BG ,375,0.69649
QURU,BG ,500,0.59908
TSCA,BG ,3,0.067207
TSCA,BG ,15,0.13717
TSCA,BG ,30,0.16183
TSCA,BG ,60,0.22874
TSCA,BG ,85,0.27797
TSCA,BG ,150,0.26006
TSCA,BG ,250,0.31789
TSCA,BG ,375,0.33483
TSCA,BG ,500,0.32403
TSCA,BG ,3,0.044851
TSCA,BG ,15,0.17457
TSCA,BG ,30,0.22871
TSCA,BG ,60,0.22344
TSCA,BG ,85,0.30553
TSCA,BG ,150,0.31983
TSCA,BG ,250,0.28344
TSCA,BG ,375,0.29815
TSCA,BG ,500,0.25167
TSCA,BG ,3,0.0668
TSCA,BG ,15,0.20326
TSCA,BG ,30,0.24057
TSCA,BG ,60,0.33931
TSCA,BG ,85,0.32543
TSCA,BG ,150,0.43302
TSCA,BG ,250,0.32482
TSCA,BG ,375,0.32002
TSCA,BG ,500,0.37362
TSCA,BG ,3,0.073399
TSCA,BG ,15,0.22077
TSCA,BG ,30,0.22341
TSCA,BG ,60,0.26568
TSCA,BG ,85,0.36091
TSCA,BG ,150,0.38446
TSCA,BG ,250,0.3088
TSCA,BG ,375,0.34426
TSCA,BG ,500,0.36778
TSCA,BG ,3,0.07769
TSCA,BG ,15,0.2259
TSCA,BG ,30,0.36019
TSCA,BG ,60,0.36993
TSCA,BG ,85,0.43948
TSCA,BG ,150,0.41534
TSCA,BG ,250,0.42758
TSCA,BG ,375,0.36853
TSCA,BG ,500,0.4251
TSCA,BG ,3,0.069236
TSCA,BG ,15,0.1786
TSCA,BG ,30,0.15215
TSCA,BG ,60,0.28344
TSCA,BG ,85,0.28835
TSCA,BG ,150,0.26786
TSCA,BG ,250,0.32769
TSCA,BG ,375,0.23999
TSCA,BG ,500,0.41599
FRAM,BG ,3,0.14115
FRAM,BG ,15,0.33593
FRAM,BG ,30,0.53252
FRAM,BG ,60,0.78832
FRAM,BG ,85,1.1854
FRAM,BG ,150,1.29
FRAM,BG ,250,1.3931
FRAM,BG ,375,1.3383
FRAM,BG ,500,1.4146
FRAM,BG ,3,0.1642
FRAM,BG ,15,0.26011
FRAM,BG ,30,0.43643
FRAM,BG ,60,0.68073
FRAM,BG ,85,0.84052
FRAM,BG ,150,1.064
FRAM,BG ,250,1.2521
FRAM,BG ,375,1.5045
FRAM,BG ,500,1.2912
FRAM,BG ,3,0.12045
FRAM,BG ,15,0.32971
FRAM,BG ,30,0.54507
FRAM,BG ,60,0.81108
FRAM,BG ,85,0.9605
FRAM,BG ,150,1.0542
FRAM,BG ,250,1.33
FRAM,BG ,375,1.2866
FRAM,BG ,500,1.6245
FRAM,BG ,3,0.10611
FRAM,BG ,15,0.23652
FRAM,BG ,30,0.36267
FRAM,BG ,60,0.46067
FRAM,BG ,85,0.52425
FRAM,BG ,150,0.59041
FRAM,BG ,250,0.63006
FRAM,BG ,375,0.70001
FRAM,BG ,500,0.5349
FRAM,BG ,3,0.096136
FRAM,BG ,15,0.43507
FRAM,BG ,30,0.73245
FRAM,BG ,60,1.0274
FRAM,BG ,85,1.335
FRAM,BG ,150,1.5142
FRAM,BG ,250,1.7112
FRAM,BG ,375,1.5699
FRAM,BG ,500,1.7857
FRAM,BG ,3,0.1442
FRAM,BG ,15,0.4306
FRAM,BG ,30,0.6051
FRAM,BG ,60,0.86015
FRAM,BG ,85,0.89284
FRAM,BG ,150,0.85458
FRAM,BG ,250,0.96265
FRAM,BG ,375,1.022
FRAM,BG ,500,1.0724
QURU,BG ,3,0.07323
QURU,BG ,15,0.1825
QURU,BG ,30,0.28066
QURU,BG ,60,0.47701
QURU,BG ,85,0.47757
QURU,BG ,150,0.44343
QURU,BG ,250,0.44317
QURU,BG ,375,0.43042
QURU,BG ,500,0.42662
QURU,BG ,3,0.024401
QURU,BG ,15,0.033296
QURU,BG ,30,0.094234
QURU,BG ,60,0.13901
QURU,BG ,85,0.12402
QURU,BG ,150,0.17422
QURU,BG ,250,0.19797
QURU,BG ,375,0.20712
QURU,BG ,500,0.20993
QURU,BG ,3,0.093966
QURU,BG ,15,0.24861
QURU,BG ,30,0.28194
QURU,BG ,60,0.4534
QURU,BG ,85,0.44891
QURU,BG ,150,0.39683
QURU,BG ,250,0.36414
QURU,BG ,375,0.4237
QURU,BG ,500,0.35979
QURU,BG ,3,0.047528
QURU,BG ,15,0.18333
QURU,BG ,30,0.27175
QURU,BG ,60,0.31956
QURU,BG ,85,0.34381
QURU,BG ,150,0.39669
QURU,BG ,250,0.38602
QURU,BG ,375,0.39231
QURU,BG ,500,0.35184
QURU,BG ,3,0.086074
QURU,BG ,15,0.23386
QURU,BG ,30,0.32563
QURU,BG ,60,0.39305
QURU,BG ,85,0.41372
QURU,BG ,150,0.37889
QURU,BG ,250,0.46495
QURU,BG ,375,0.36739
QURU,BG ,500,0.44186
QURU,BG ,3,0.068598
QURU,BG ,15,0.17339
QURU,BG ,30,0.25934
QURU,BG ,60,0.3196
QURU,BG ,85,0.37783
QURU,BG ,150,0.40149
QURU,BG ,250,0.48616
QURU,BG ,375,0.40725
QURU,BG ,500,0.34924
TSCA,BG ,3,0.045024
TSCA,BG ,15,0.23289
TSCA,BG ,30,0.30708
TSCA,BG ,60,0.38059
TSCA,BG ,85,0.42692
TSCA,BG ,150,0.54832
TSCA,BG ,250,0.63587
TSCA,BG ,375,0.48832
TSCA,BG ,500,0.55357
TSCA,BG ,3,0.034702
TSCA,BG ,15,0.084361
TSCA,BG ,30,0.10746
TSCA,BG ,60,0.14223
TSCA,BG ,85,0.14284
TSCA,BG ,150,0.17462
TSCA,BG ,250,0.20119
TSCA,BG ,375,0.17046
TSCA,BG ,500,0.17093
TSCA,BG ,3,0.094759
TSCA,BG ,15,0.34741
TSCA,BG ,30,0.39341
TSCA,BG ,60,0.60118
TSCA,BG ,85,0.70676
TSCA,BG ,150,0.59094
TSCA,BG ,250,0.56973
TSCA,BG ,375,0.50792
TSCA,BG ,500,0.46204
TSCA,BG ,3,0.071752
TSCA,BG ,15,0.42809
TSCA,BG ,30,0.45158
TSCA,BG ,60,0.60604
TSCA,BG ,85,0.69078
TSCA,BG ,150,0.65637
TSCA,BG ,250,0.66813
TSCA,BG ,375,0.71303
TSCA,BG ,500,0.73255
TSCA,BG ,3,0.065317
TSCA,BG ,15,0.31979
TSCA,BG ,30,0.42158
TSCA,BG ,60,0.57997
TSCA,BG ,85,0.77398
TSCA,BG ,150,0.6202
TSCA,BG ,250,0.57736
TSCA,BG ,375,0.73644
TSCA,BG ,500,0.69282
TSCA,BG ,3,0.052797
TSCA,BG ,15,0.16677
TSCA,BG ,30,0.25346
TSCA,BG ,60,0.3315
TSCA,BG ,85,0.35196
TSCA,BG ,150,0.36622
TSCA,BG ,250,0.47833
TSCA,BG ,375,0.30475
TSCA,BG ,500,0.41797
FRAM,BG ,3,0.033198
FRAM,BG ,15,0.20893
FRAM,BG ,30,0.39472
FRAM,BG ,60,0.60904
FRAM,BG ,85,0.71902
FRAM,BG ,150,0.85916
FRAM,BG ,250,1.0274
FRAM,BG ,375,0.94856
FRAM,BG ,500,0.93763
FRAM,BG ,3,0.047784
FRAM,BG ,15,0.25341
FRAM,BG ,30,0.4152
FRAM,BG ,60,0.61067
FRAM,BG ,85,0.71965
FRAM,BG ,150,1.0539
FRAM,BG ,250,1.0062
FRAM,BG ,375,0.98016
FRAM,BG ,500,1.1051
FRAM,BG ,3,0.071319
FRAM,BG ,15,0.25319
FRAM,BG ,30,0.5004
FRAM,BG ,60,0.69031
FRAM,BG ,85,0.74909
FRAM,BG ,150,0.92392
FRAM,BG ,250,0.94947
FRAM,BG ,375,1.1362
FRAM,BG ,500,1.278
FRAM,BG ,3,0.078261
FRAM,BG ,15,0.30878
FRAM,BG ,30,0.56169
FRAM,BG ,60,0.8973
FRAM,BG ,85,0.91794
FRAM,BG ,150,1.1619
FRAM,BG ,250,1.0756
FRAM,BG ,375,1.3391
FRAM,BG ,500,1.3194
FRAM,BG ,3,0.065291
FRAM,BG ,15,0.26093
FRAM,BG ,30,0.40433
FRAM,BG ,60,0.72469
FRAM,BG ,85,0.79058
FRAM,BG ,150,0.78989
FRAM,BG ,250,0.95251
FRAM,BG ,375,0.89073
FRAM,BG ,500,1.0881
FRAM,BG ,3,0.062106
FRAM,BG ,15,0.29826
FRAM,BG ,30,0.51656
FRAM,BG ,60,0.78448
FRAM,BG ,85,0.9305
FRAM,BG ,150,0.96634
FRAM,BG ,250,0.95641
FRAM,BG ,375,1.0915
FRAM,BG ,500,1.1271
QURU,BG ,3,0.016636
QURU,BG ,15,0.14016
QURU,BG ,30,0.22745
QURU,BG ,60,0.31706
QURU,BG ,85,0.35455
QURU,BG ,150,0.376
QURU,BG ,250,0.40177
QURU,BG ,375,0.38104
QURU,BG ,500,0.3599
QURU,BG ,3,0.050569
QURU,BG ,15,0.18652
QURU,BG ,30,0.32471
QURU,BG ,60,0.40561
QURU,BG ,85,0.40879
QURU,BG ,150,0.44123
QURU,BG ,250,0.50314
QURU,BG ,375,0.40543
QURU,BG ,500,0.38679
QURU,BG ,3,0.036401
QURU,BG ,15,0.13777
QURU,BG ,30,0.23243
QURU,BG ,60,0.2409
QURU,BG ,85,0.24965
QURU,BG ,150,0.28714
QURU,BG ,250,0.29744
QURU,BG ,375,0.21855
QURU,BG ,500,0.28229
QURU,BG ,3,0.067741
QURU,BG ,15,0.15701
QURU,BG ,30,0.27363
QURU,BG ,60,0.33421
QURU,BG ,85,0.30567
QURU,BG ,150,0.39292
QURU,BG ,250,0.46282
QURU,BG ,375,0.42416
QURU,BG ,500,0.41663
QURU,BG ,3,0.044383
QURU,BG ,15,0.17339
QURU,BG ,30,0.27757
QURU,BG ,60,0.35119
QURU,BG ,85,0.41914
QURU,BG ,150,0.37569
QURU,BG ,250,0.38334
QURU,BG ,375,0.3816
QURU,BG ,500,0.53639
QURU,BG ,3,0.02269
QURU,BG ,15,0.12404
QURU,BG ,30,0.18455
QURU,BG ,60,0.187
QURU,BG ,85,0.23963
QURU,BG ,150,0.23853
QURU,BG ,250,0.21977
QURU,BG ,375,0.26751
QURU,BG ,500,0.27549
TSCA,BG ,3,0.09478
TSCA,BG ,15,0.30803
TSCA,BG ,30,0.40224
TSCA,BG ,60,0.46847
TSCA,BG ,85,0.5509
TSCA,BG ,150,0.64776
TSCA,BG ,250,0.633
TSCA,BG ,375,0.66316
TSCA,BG ,500,0.57602
TSCA,BG ,3,0.038843
TSCA,BG ,15,0.20183
TSCA,BG ,30,0.39372
TSCA,BG ,60,0.53174
TSCA,BG ,85,0.63396
TSCA,BG ,150,0.7123
TSCA,BG ,250,0.50944
TSCA,BG ,375,0.5022
TSCA,BG ,500,0.59141
TSCA,BG ,3,0.034271
TSCA,BG ,15,0.11501
TSCA,BG ,30,0.22896
TSCA,BG ,60,0.23698
TSCA,BG ,85,0.26372
TSCA,BG ,150,0.28957
TSCA,BG ,250,0.23528
TSCA,BG ,375,0.34281
TSCA,BG ,500,0.29203
TSCA,BG ,3,0.028908
TSCA,BG ,15,0.039784
TSCA,BG ,30,0.099529
TSCA,BG ,60,0.1293
TSCA,BG ,85,0.10292
TSCA,BG ,150,0.11374
TSCA,BG ,250,0.11972
TSCA,BG ,375,0.15377
TSCA,BG ,500,0.12479
TSCA,BG ,3,0.078666
TSCA,BG ,15,0.17592
TSCA,BG ,30,0.28814
TSCA,BG ,60,0.35539
TSCA,BG ,85,0.44083
TSCA,BG ,150,0.488
TSCA,BG ,250,0.54909
TSCA,BG ,375,0.40898
TSCA,BG ,500,0.38999
TSCA,BG ,3,0.076299
TSCA,BG ,15,0.18563
TSCA,BG ,30,0.34376
TSCA,BG ,60,0.4014
TSCA,BG ,85,0.52293
TSCA,BG ,150,0.55199
TSCA,BG ,250,0.52559
TSCA,BG ,375,0.46974
TSCA,BG ,500,0.3982
FRAM,BG ,3,0.06361
FRAM,BG ,15,0.17582
FRAM,BG ,30,0.32712
FRAM,BG ,60,0.43812
FRAM,BG ,85,0.50523
FRAM,BG ,150,0.64663
FRAM,BG ,250,0.72211
FRAM,BG ,375,0.72122
FRAM,BG ,500,0.89442
FRAM,BG ,3,0.077995
FRAM,BG ,15,0.27614
FRAM,BG ,30,0.37818
FRAM,BG ,60,0.6952
FRAM,BG ,85,0.79093
FRAM,BG ,150,0.92345
FRAM,BG ,250,1.1735
FRAM,BG ,375,1.2912
FRAM,BG ,500,1.3565
FRAM,BG ,3,0.11844
FRAM,BG ,15,0.40982
FRAM,BG ,30,0.81067
FRAM,BG ,60,1.0862
FRAM,BG ,85,1.3813
FRAM,BG ,150,1.5615
FRAM,BG ,250,1.8972
FRAM,BG ,375,2.2181
FRAM,BG ,500,2.1326
FRAM,BG ,3,0.050582
FRAM,BG ,15,0.33493
FRAM,BG ,30,0.53945
FRAM,BG ,60,0.72864
FRAM,BG ,85,0.86372
FRAM,BG ,150,0.98519
FRAM,BG ,250,1.1932
FRAM,BG ,375,1.1739
FRAM,BG ,500,1.094
FRAM,BG ,3,0.039659
FRAM,BG ,15,0.23724
FRAM,BG ,30,0.33075
FRAM,BG ,60,0.45866
FRAM,BG ,85,0.61824
FRAM,BG ,150,0.62245
FRAM,BG ,250,0.7924
FRAM,BG ,375,0.7722
FRAM,BG ,500,0.82885
FRAM,BG ,3,0.070734
FRAM,BG ,15,0.2566
FRAM,BG ,30,0.50203
FRAM,BG ,60,0.60693
FRAM,BG ,85,0.74312
FRAM,BG ,150,0.69988
FRAM,BG ,250,0.79134
FRAM,BG ,375,0.69873
FRAM,BG ,500,1.0063
QURU,BG ,3,0.031914
QURU,BG ,15,0.12201
QURU,BG ,30,0.12021
QURU,BG ,60,0.25091
QURU,BG ,85,0.19482
QURU,BG ,150,0.2124
QURU,BG ,250,0.26191
QURU,BG ,375,0.22002
QURU,BG ,500,0.25739
QURU,BG ,3,0.077739
QURU,BG ,15,0.2694
QURU,BG ,30,0.39402
QURU,BG ,60,0.6345
QURU,BG ,85,0.61513
QURU,BG ,150,0.66321
QURU,BG ,250,0.68206
QURU,BG ,375,0.80904
QURU,BG ,500,0.7076
QURU,BG ,3,0.018572
QURU,BG ,15,0.048561
QURU,BG ,30,0.057496
QURU,BG ,60,0.092179
QURU,BG ,85,0.11633
QURU,BG ,150,0.1623
QURU,BG ,250,0.16108
QURU,BG ,375,0.20244
QURU,BG ,500,0.17447
QURU,BG ,3,0.080876
QURU,BG ,15,0.27624
QURU,BG ,30,0.38526
QURU,BG ,60,0.5306
QURU,BG ,85,0.62536
QURU,BG ,150,0.64184
QURU,BG ,250,0.68505
QURU,BG ,375,0.81843
QURU,BG ,500,0.74288
QURU,BG ,3,0.061152
QURU,BG ,15,0.16277
QURU,BG ,30,0.22757
QURU,BG ,60,0.34822
QURU,BG ,85,0.38749
QURU,BG ,150,0.35222
QURU,BG ,250,0.40735
QURU,BG ,375,0.47696
QURU,BG ,500,0.52173
QURU,BG ,3,0.05072
QURU,BG ,15,0.13452
QURU,BG ,30,0.15832
QURU,BG ,60,0.19264
QURU,BG ,85,0.24966
QURU,BG ,150,0.20818
QURU,BG ,250,0.23692
QURU,BG ,375,0.22523
QURU,BG ,500,0.24867
TSCA,BG ,3,0.052527
TSCA,BG ,15,0.28493
TSCA,BG ,30,0.45703
TSCA,BG ,60,0.60574
TSCA,BG ,85,0.68657
TSCA,BG ,150,0.72177
TSCA,BG ,250,0.57531
TSCA,BG ,375,0.66616
TSCA,BG ,500,0.67764
TSCA,BG ,3,-0.0087913
TSCA,BG ,15,0.044195
TSCA,BG ,30,0.07014
TSCA,BG ,60,0.11172
TSCA,BG ,85,0.082327
TSCA,BG ,150,0.12312
TSCA,BG ,250,0.11869
TSCA,BG ,375,0.13039
TSCA,BG ,500,0.18077
TSCA,BG ,3,0.046219
TSCA,BG ,15,0.18946
TSCA,BG ,30,0.20236
TSCA,BG ,60,0.42126
TSCA,BG ,85,0.46882
TSCA,BG ,150,0.47582
TSCA,BG ,250,0.44412
TSCA,BG ,375,0.58884
TSCA,BG ,500,0.5701
TSCA,BG ,3,-0.016576
TSCA,BG ,15,0.01799
TSCA,BG ,30,0.008456
TSCA,BG ,60,0.089632
TSCA,BG ,85,0.078941
TSCA,BG ,150,0.088177
TSCA,BG ,250,0.11583
TSCA,BG ,375,0.17484
TSCA,BG ,500,0.14119
TSCA,BG ,3,0.02795
TSCA,BG ,15,0.3217
TSCA,BG ,30,0.3845
TSCA,BG ,60,0.56314
TSCA,BG ,85,0.74518
TSCA,BG ,150,0.72167
TSCA,BG ,250,0.79486
TSCA,BG ,375,0.7488
TSCA,BG ,500,0.79119
TSCA,BG ,3,0.032604
TSCA,BG ,15,0.39836
TSCA,BG ,30,0.46572
TSCA,BG ,60,0.5333
TSCA,BG ,85,0.8887
TSCA,BG ,150,0.80413
TSCA,BG ,250,0.91718
TSCA,BG ,375,0.94677
TSCA,BG ,500,1.0562
QURU,BG ,3,0.031327
QURU,BG ,15,0.134
QURU,BG ,30,0.18286
QURU,BG ,60,0.21003
QURU,BG ,85,0.25667
QURU,BG ,150,0.27816
QURU,BG ,250,0.36303
QURU,BG ,375,0.34651
QURU,BG ,500,0.36822
QURU,BG ,3,0.050867
QURU,BG ,15,0.086033
QURU,BG ,30,0.10249
QURU,BG ,60,0.14851
QURU,BG ,85,0.15638
QURU,BG ,150,0.21655
QURU,BG ,250,0.18598
QURU,BG ,375,0.18136
QURU,BG ,500,0.19368
QURU,BG ,3,0.066704
QURU,BG ,15,0.26117
QURU,BG ,30,0.32087
QURU,BG ,60,0.56228
QURU,BG ,85,0.5924
QURU,BG ,150,0.52425
QURU,BG ,250,0.57786
QURU,BG ,375,0.64906
QURU,BG ,500,0.45202
QURU,BG ,3,0.0072888
QURU,BG ,15,0.073753
QURU,BG ,30,0.099251
QURU,BG ,60,0.15684
QURU,BG ,85,0.20431
QURU,BG ,150,0.22925
QURU,BG ,250,0.2343
QURU,BG ,375,0.27563
QURU,BG ,500,0.27642
QURU,BG ,3,0.069002
QURU,BG ,15,0.27209
QURU,BG ,30,0.39864
QURU,BG ,60,0.47613
QURU,BG ,85,0.57095
QURU,BG ,150,0.72734
QURU,BG ,250,0.65603
QURU,BG ,375,0.69713
QURU,BG ,500,0.67291
QURU,BG ,3,0.028153
QURU,BG ,15,0.10446
QURU,BG ,30,0.11793
QURU,BG ,60,0.18031
QURU,BG ,85,0.19442
QURU,BG ,150,0.22538
QURU,BG ,250,0.27337
QURU,BG ,375,0.2596
QURU,BG ,500,0.28636
TSCA,BG ,3,0.080307
TSCA,BG ,15,0.43116
TSCA,BG ,30,0.70951
TSCA,BG ,60,1.0783
TSCA,BG ,85,1.2686
TSCA,BG ,150,1.3992
TSCA,BG ,250,1.335
TSCA,BG ,375,1.0827
TSCA,BG ,500,1.1695
TSCA,BG ,3,0.075134
TSCA,BG ,15,0.19382
TSCA,BG ,30,0.27546
TSCA,BG ,60,0.51405
TSCA,BG ,85,0.81138
TSCA,BG ,150,0.54092
TSCA,BG ,250,0.80967
TSCA,BG ,375,0.72148
TSCA,BG ,500,0.57815
TSCA,BG ,3,0.09797
TSCA,BG ,15,0.30438
TSCA,BG ,30,0.40063
TSCA,BG ,60,0.45351
TSCA,BG ,85,0.51707
TSCA,BG ,150,0.53642
TSCA,BG ,250,0.64461
TSCA,BG ,375,0.50459
TSCA,BG ,500,0.52249
TSCA,BG ,3,0.070018
TSCA,BG ,15,0.20447
TSCA,BG ,30,0.2675
TSCA,BG ,60,0.30698
TSCA,BG ,85,0.4376
TSCA,BG ,150,0.39052
TSCA,BG ,250,0.32691
TSCA,BG ,375,0.39616
TSCA,BG ,500,0.40817
TSCA,BG ,3,0.080394
TSCA,BG ,15,0.25449
TSCA,BG ,30,0.40342
TSCA,BG ,60,0.4604
TSCA,BG ,85,0.45216
TSCA,BG ,150,0.48924
TSCA,BG ,250,0.56821
TSCA,BG ,375,0.60921
TSCA,BG ,500,0.45466
TSCA,BG ,3,0.053488
TSCA,BG ,15,0.11848
TSCA,BG ,30,0.18588
TSCA,BG ,60,0.21149
TSCA,BG ,85,0.2428
TSCA,BG ,150,0.42342
TSCA,BG ,250,0.38553
TSCA,BG ,375,0.34541
TSCA,BG ,500,0.4481
FRAM,BG ,3,0.093024
FRAM,BG ,15,0.29426
FRAM,BG ,30,0.37432
FRAM,BG ,60,0.59529
FRAM,BG ,85,0.6889
FRAM,BG ,150,0.69366
FRAM,BG ,250,0.93099
FRAM,BG ,375,0.94893
FRAM,BG ,500,1.0269
FRAM,BG ,3,0.11364
FRAM,BG ,15,0.34337
FRAM,BG ,30,0.51998
FRAM,BG ,60,0.70503
FRAM,BG ,85,0.91361
FRAM,BG ,150,1.1255
FRAM,BG ,250,1.124
FRAM,BG ,375,1.276
FRAM,BG ,500,1.3786
FRAM,BG ,3,0.076778
FRAM,BG ,15,0.30709
FRAM,BG ,30,0.37007
FRAM,BG ,60,0.53879
FRAM,BG ,85,0.65325
FRAM,BG ,150,0.65328
FRAM,BG ,250,0.68089
FRAM,BG ,375,0.74199
FRAM,BG ,500,0.72859
FRAM,BG ,3,0.09334
FRAM,BG ,15,0.31013
FRAM,BG ,30,0.55075
FRAM,BG ,60,0.70006
FRAM,BG ,85,0.99521
FRAM,BG ,150,1.1081
FRAM,BG ,250,1.2388
FRAM,BG ,375,1.4694
FRAM,BG ,500,1.5972
FRAM,BG ,3,0.16966
FRAM,BG ,15,0.59794
FRAM,BG ,30,0.99659
FRAM,BG ,60,1.5916
FRAM,BG ,85,1.7957
FRAM,BG ,150,2.382
FRAM,BG ,250,2.785
FRAM,BG ,375,3.0493
FRAM,BG ,500,3.3357
FRAM,BG ,3,0.09187
FRAM,BG ,15,0.45784
FRAM,BG ,30,0.69595
FRAM,BG ,60,0.96204
FRAM,BG ,85,1.1989
FRAM,BG ,150,1.5079
FRAM,BG ,250,1.5604
FRAM,BG ,375,1.7553
FRAM,BG ,500,1.4921
FRAM,CBH,3,0.021707
FRAM,CBH,15,0.044162
FRAM,CBH,30,0.063935
FRAM,CBH,60,0.086395
FRAM,CBH,85,0.1116
FRAM,CBH,150,0.092364
FRAM,CBH,250,0.087598
FRAM,CBH,375,0.10725
FRAM,CBH,500,0.091494
FRAM,CBH,3,0.042296
FRAM,CBH,15,0.090176
FRAM,CBH,30,0.1088
FRAM,CBH,60,0.13684
FRAM,CBH,85,0.17392
FRAM,CBH,150,0.14966
FRAM,CBH,250,0.1902
FRAM,CBH,375,0.21972
FRAM,CBH,500,0.21964
FRAM,CBH,3,0.032562
FRAM,CBH,15,0.094994
FRAM,CBH,30,0.10184
FRAM,CBH,60,0.1421
FRAM,CBH,85,0.17435
FRAM,CBH,150,0.24579
FRAM,CBH,250,0.23729
FRAM,CBH,375,0.24796
FRAM,CBH,500,0.35958
FRAM,CBH,3,0.033882
FRAM,CBH,15,0.089097
FRAM,CBH,30,0.16359
FRAM,CBH,60,0.31647
FRAM,CBH,85,0.42589
FRAM,CBH,150,0.50215
FRAM,CBH,250,0.48031
FRAM,CBH,375,0.50251
FRAM,CBH,500,0.51309
FRAM,CBH,3,0.072268
FRAM,CBH,15,0.11227
FRAM,CBH,30,0.19251
FRAM,CBH,60,0.26401
FRAM,CBH,85,0.36663
FRAM,CBH,150,0.40561
FRAM,CBH,250,0.36465
FRAM,CBH,375,0.37972
FRAM,CBH,500,0.53366
FRAM,CBH,3,0.056692
FRAM,CBH,15,0.098938
FRAM,CBH,30,0.13813
FRAM,CBH,60,0.1525
FRAM,CBH,85,0.20263
FRAM,CBH,150,0.1959
FRAM,CBH,250,0.18257
FRAM,CBH,375,0.18452
FRAM,CBH,500,0.24125
QURU,CBH,3,0.012162
QURU,CBH,15,0.024535
QURU,CBH,30,-0.0012451
QURU,CBH,60,0.014847
QURU,CBH,85,0.027304
QURU,CBH,150,0.047
QURU,CBH,250,0.018324
QURU,CBH,375,0.025091
QURU,CBH,500,0.0093507
QURU,CBH,3,0.036464
QURU,CBH,15,0.068223
QURU,CBH,30,0.041367
QURU,CBH,60,0.084367
QURU,CBH,85,0.063182
QURU,CBH,150,0.047272
QURU,CBH,250,0.063134
QURU,CBH,375,0.080169
QURU,CBH,500,0.065816
QURU,CBH,3,0.014458
QURU,CBH,15,0.081467
QURU,CBH,30,0.052992
QURU,CBH,60,0.1029
QURU,CBH,85,0.11921
QURU,CBH,150,0.061382
QURU,CBH,250,0.05346
QURU,CBH,375,0.041663
QURU,CBH,500,0.06377
QURU,CBH,3,0.029912
QURU,CBH,15,0.066437
QURU,CBH,30,0.06962
QURU,CBH,60,0.1306
QURU,CBH,85,0.14558
QURU,CBH,150,0.099509
QURU,CBH,250,0.085162
QURU,CBH,375,0.081427
QURU,CBH,500,0.093896
QURU,CBH,3,0.010117
QURU,CBH,15,0.071172
QURU,CBH,30,0.092975
QURU,CBH,60,0.11431
QURU,CBH,85,0.089009
QURU,CBH,150,0.09054
QURU,CBH,250,0.051464
QURU,CBH,375,0.088033
QURU,CBH,500,0.062669
QURU,CBH,3,0.0017706
QURU,CBH,15,0.024629
QURU,CBH,30,0.030677
QURU,CBH,60,0.082156
QURU,CBH,85,0.072588
QURU,CBH,150,0.045484
QURU,CBH,250,0.045792
QURU,CBH,375,0.029706
QURU,CBH,500,0.026023
TSCA,CBH,3,-0.010743
TSCA,CBH,15,0.041816
TSCA,CBH,30,0.0064568
TSCA,CBH,60,0.022685
TSCA,CBH,85,0.0097866
TSCA,CBH,150,0.023637
TSCA,CBH,250,0.039238
TSCA,CBH,375,0.034594
TSCA,CBH,500,0.034463
TSCA,CBH,3,-0.018553
TSCA,CBH,15,0.0055456
TSCA,CBH,30,0.027621
TSCA,CBH,60,0.012202
TSCA,CBH,85,0.028181
TSCA,CBH,150,-0.0055491
TSCA,CBH,250,-0.0015314
TSCA,CBH,375,0.00115
TSCA,CBH,500,-0.014993
TSCA,CBH,3,0.026937
TSCA,CBH,15,0.070937
TSCA,CBH,30,0.076775
TSCA,CBH,60,0.10943
TSCA,CBH,85,0.10605
TSCA,CBH,150,0.05364
TSCA,CBH,250,0.054011
TSCA,CBH,375,0.050249
TSCA,CBH,500,0.045842
TSCA,CBH,3,0.00055123
TSCA,CBH,15,0.065011
TSCA,CBH,30,0.052131
TSCA,CBH,60,0.10179
TSCA,CBH,85,0.071773
TSCA,CBH,150,0.085998
TSCA,CBH,250,0.018779
TSCA,CBH,375,0.11244
TSCA,CBH,500,0.015009
TSCA,CBH,3,0.021645
TSCA,CBH,15,0.055951
TSCA,CBH,30,0.03566
TSCA,CBH,60,0.12846
TSCA,CBH,85,0.065402
TSCA,CBH,150,0.078864
TSCA,CBH,250,0.041372
TSCA,CBH,375,0.083528
TSCA,CBH,500,0.032707
TSCA,CBH,3,0.0094868
TSCA,CBH,15,0.01622
TSCA,CBH,30,0.022831
TSCA,CBH,60,0.038962
TSCA,CBH,85,0.09483
TSCA,CBH,150,0.043047
TSCA,CBH,250,0.052903
TSCA,CBH,375,0.062149
